Rank,Name,Share,Num Voters,Approval,MD
1,seatrips,50%,573,3992643 SHIFT,0.13
2,gregorst,20%,502,3869478 SHIFT,0.054
3,shiftraider,50%,408,3750223 SHIFT,0.14
4,djandre,25%,471,3630848 SHIFT,0.072
6,shiftspider,50%,402,3492045 SHIFT,0.15
7,redpool,40%,353,3471784 SHIFT,0.12
8,trnp,40%,327,3471536 SHIFT,0.12
9,stefanoproxy_pool,20%,365,3467599 SHIFT,0.06
10,sio34,10%,385,3465554 SHIFT,0.03
11,shiftcow,40%,333,3464726 SHIFT,0.12
12,samuel_paulsun,15%,353,3447554 SHIFT,0.045
13,forrest,20%,359,3440445 SHIFT,0.061
15,shozay_pool,40%,344,3428757 SHIFT,0.12
17,worldcoinpool,40%,324,3345255 SHIFT,0.12
18,hongkie,50%,308,3336885 SHIFT,0.16
20,ampsicora,22%,412,3317165 SHIFT,0.069
22,saluki,50%,269,3314618 SHIFT,0.16
23,bawga,50%,355,3311711 SHIFT,0.16
26,dimm86,20%,381,3289673 SHIFT,0.064
27,peanhoy,50%,306,3281299 SHIFT,0.16
28,liskit,20%,402,3266388 SHIFT,0.064
29,shiftpool,80%,399,3252872 SHIFT,0.26
30,swminer90,30%,406,3251323 SHIFT,0.096
31,bitmyst,20%,346,3220283 SHIFT,0.065
32,yondz,25%,361,3220000 SHIFT,0.081
33,vipertkd,20%,397,3218463 SHIFT,0.065
35,kanieloutis,50%,283,3203931 SHIFT,0.16
36,vekexasia,0%,280,3105560 SHIFT,0
37,kiashaan_amz,20%,315,3102913 SHIFT,0.067
38,gregoro,25%,278,3069941 SHIFT,0.085
39,oakey22,20%,344,3060955 SHIFT,0.068
40,lordshare,50%,214,3015732 SHIFT,0.17
41,mg_pool,50%,299,2980666 SHIFT,0.18
42,swimming_pool,75%,292,2937369 SHIFT,0.27
44,forumfinancejv,65%,218,2905028 SHIFT,0.23
48,ghostfaceuk,40%,273,2881940 SHIFT,0.15
54,kicken,10%,184,2742214 SHIFT,0.038
56,shift_tools,35%,81,2636074 SHIFT,0.14
75,neuthor,40%,81,2387948 SHIFT,0.18
85,drake_pool,40%,149,2297426 SHIFT,0.18
101,carsonpool,60%,55,1675463 SHIFT,0.37
106,bran,15%,110,1232898 SHIFT,
107,ron,50%,67,1153460 SHIFT,
111,joo5ty,40%,97,1078219 SHIFT,
115,worldshift,50%,58,906255 SHIFT,
116,wariner_pool,50%,61,902288 SHIFT,
117,blink_pool,50%,48,848166 SHIFT,
118,starlord_pool,35%,41,775947 SHIFT,
123,deadpool,50%,12,652229 SHIFT,
162,pnwdrew,80%,7,145164 SHIFT,
